"item.daAwardNoticeId","item.noticeNo","item.publicationDate","details.finalizationDate","details.sysNoticeState.text","details.sysAcquisitionContractType.text","details.sysEuropeanFund.text","item.awardedValue","item.contractObject","item.cpvCategory","item.cpvCode","authority.entityId","authority.fiscalNumber","authority.entityName","authority.city","authority.county","details.noticeEntityAddress.noticeEntityAddressID","details.noticeEntityAddress.fiscalNumber","details.noticeEntityAddress.organization","details.noticeEntityAddress.city"
101371847,DAN2304786,"2024-11-01","2024-11-01",Publicat,Servicii,"Alte programe/proiecte",105000,"Servicii de asistență tehnică a proiectantului pe perioada de execuție a lucrărilor pentru obiectul de investiţii: „Sprijinirea conectării populației cu venituri mici la rețelele de alimentare cu apă și de canalizare existente în județul Ialomița – Proiect PNRR MAPC01202242000018 Componenta C1 – Managementul apei, valul I” pentru U.A.T. Comuna Adîncata, Comuna Ciulnița, Comuna Ograda și Slobozia”",CONSTRUCTII,"71356200-0 - Servicii de asistenta tehnica (Rev.2)",4507,11316859,"URBAN SA SLOBOZIA",NA,Ialomita,110908691,14403470,"S.C. UNIX S.R.L.",Bucuresti
101371030,DAN2304008,"2024-10-31","2024-10-09",Publicat,Servicii,"Alte programe/proiecte",12300,"Servicii de dirigentie de santier pentru obiectivul de investitie  „Construire locuințe pentru tineri în comuna Socodor, județul Arad” - PNRR C10",CONSTRUCTII,"71521000-6 - Servicii de supraveghere a santierului (Rev.2)",2009,3519330,"COMUNA SOCODOR",Socodor,Arad,110904512,16834908,"S.C. POENARU CONSTRUCT S.R.L.",Livada
101369802,DAN2302819,"2024-10-30","2024-10-25",Publicat,Furnizare,"Alte programe/proiecte","196.92","Accesoriu masurare LENTILA CT M12X1 pentru proiectul Synthesis of Dendrimers Containing Sulfonium Ions in the Backbone for Antibacterial Applications, cod 108/31.07.2023, contract finantare 760242/28.12.2023 PNRR","TRANSPORT, DEPOZITARE SI COMUNICATII","34913000-0 - Diverse piese de schimb (Rev.2)",3981,RO13221445,"INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU TEHNOLOGII IZOTOPICE SI MOLECULARE","Cluj-Napoca",Cluj,110897150,25222010,"TRANSFER MULTISORT ELEKTRONIK SRL",Timisoara
101369563,DAN2302581,"2024-10-30","2024-10-30",Publicat,Servicii,"-",119,"Verificare beneficiar real la Registrul Comertului pentru achizitiile in cadrul obiectului de investiţii: „Sprijinirea conectării populației cu venituri mici la rețelele de alimentare cu apă și de canalizare existente în județul Ialomița – Proiect PNRR MAPC01202242000018 Componenta C1 – Managementul apei, valul I” pentru U.A.T. Comuna Adîncata, Comuna Ciulnița, Comuna Ograda și Slobozia","TEHNOLOGIA INFORMATIEI SI COMUNICATIEI","72322000-8 - Servicii de gestionare a datelor (Rev.2)",4507,11316859,"URBAN SA SLOBOZIA",NA,Ialomita,110894637,32332105,"OPENCODE SRL",Bucuresti
101368893,DAN2301901,"2024-10-29","2024-10-29",Publicat,Furnizare,"Alte programe/proiecte",65150,"Furnizarea echipamentelor de stocare și rețea, aferente proiectului „Digitalizarea proceselor non-clinice din cadrul Serviciului de Ambulanță Județean Giurgiu” finanțat prin PNRR","TEHNOLOGIA INFORMATIEI SI COMUNICATIEI","32420000-3 - Echipament de retea (Rev.2)",36452,7709183,"SERVICIUL JUDETEAN DE AMBULANTA GIURGIU",Giurgiu,Giurgiu,110887777,12167046,"S.C. MAGUAY COMPUTERS S.R.L.",Bucuresti
101368891,DAN2301899,"2024-10-29","2024-09-30",Publicat,Furnizare,"Alte programe/proiecte",117700,"Furnizarea imprimantelor și a scanerelor, aferente proiectului „Digitalizarea proceselor non-clinice din cadrul Serviciului de Ambulanță Județean Giurgiu” finanțat prin PNRR","TEHNOLOGIA INFORMATIEI SI COMUNICATIEI","30232110-8 - Imprimante laser (Rev.2)",36452,7709183,"SERVICIUL JUDETEAN DE AMBULANTA GIURGIU",Giurgiu,Giurgiu,110887771,12167046,"S.C. MAGUAY COMPUTERS S.R.L.",Bucuresti
101368006,DAN2301036,"2024-10-28","2024-10-16",Publicat,Servicii,"-",400,"servicii audit proiect PNRR - contract de finanțare nr. 1257/24.04.2023 (CR1)","SERVICII ","79212100-4 - Servicii de auditare financiara (Rev.2)",1671,9670462,"DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI IALOMITA",Slobozia,Ialomita,110877824,37099524,"S.C. KLASS ENTERPRISE S.R.L.",Craiova
101366161,DAN2299274,"2024-10-25","2024-10-23",Publicat,Servicii,"Alte programe/proiecte",10000,"Servicii de asistență tehnică - dirigenție de șantier  în  vederea  urmăririi/supravegherii lucrărilor  pentru obiectivului de investiție:„Extindere rețea apă cu branșamente și canalizare cu racorduri pe strada Cerbului, Azuga, Dimitrie Paciurea; Extindere rețea canalizare și racorduri pe strada Măgurei, Dragomirna și Atena – municipiul Alba Iulia”  proiect finanțat prin PNRR  – Managementul apei",CONSTRUCTII,"71247000-1 - Supraveghere a lucrarilor de constructii (Rev.2)",1741,4562923,"MUNICIPIUL ALBA IULIA","Alba Iulia",Alba,110862631,22030860,"S.C. STENIN CONSULT S.R.L.","Alba Iulia"
101365431,DAN2298527,"2024-10-24","2024-06-10",Publicat,Servicii,"-",14000,"SERVICII DE DIRIGENȚIE DE ȘANTIER ÎN CADRUL PROIECTULUI CU FINANȚARE
PNRR – NR. C10-I.1.4-458 ,,CONSTRUIRE PISTE DE BICICLETE 
ÎN MUNICIPIUL MOTRU”",CONSTRUCTII,"71520000-9 - Servicii de supraveghere a lucrarilor (Rev.2)",3868,5455844,"MUNICIPIUL MOTRU",Motru,Gorj,110859075,45631109,"S.C. ASIST PROJECT TECHNOLOGY S.R.L.",Craiova
101364996,DAN2298075,"2024-10-24","2024-08-12",Publicat,Servicii,"Alte programe/proiecte",1200,"Servicii de informare și publicitate în cadrul proiectului PNRR/Cod - C5-A1-12 pentru implementarea obiectivului de investiții „Consolidare seismică și renovare energetică moderată cladire rezidențială multifamilială situată în str. Boteanu nr. 3A-3B, sector 1, București","SERVICII ","79341000-6 - Servicii de publicitate (Rev.2)",194267,37047959,"Administratia Municipala pentru Consolidarea Cladirilor cu Risc Seismic",Bucuresti,Bucuresti,110856616,46734129,"S.C. UPGRADE VISION S.R.L. S.R.L.",Bucuresti
